model,variant,seed,n_samples,n_pids,fold_r2_mean,fold_r2_std,overall_r2
rf,swc_only_activity,5555,2216,108,0.003253724175405237,0.26457243894637883,0.06504406173574595
mlp,swc_only_activity,5555,2216,108,0.06382933927551741,0.18757701211882782,0.12010276902554362
ridge,swc_only_activity,7777,2216,108,0.1357418131070621,0.19028646302638125,0.20224560038121875
rf,swc_only_activity,7777,2216,108,0.010437441576279172,0.2644634342544873,0.07789540292005881
mlp,swc_only_activity,7777,2216,108,0.015978709982156048,0.18984969134348942,0.090518359176888
ridge,swc_only_activity,9999,2216,108,0.1357418131070621,0.19028646302638125,0.20224560038121875
rf,swc_only_activity,9999,2216,108,0.0038432586975711835,0.24657242375963856,0.06510900571865108
mlp,swc_only_activity,9999,2216,108,0.13281870890941938,0.23231075246510735,0.19595279635509755
ridge,swc_only_activity,100,2216,108,0.1357418131070621,0.19028646302638125,0.20224560038121875
rf,swc_only_activity,100,2216,108,0.005195801197183792,0.25759751348371746,0.06876226995699442
mlp,swc_only_activity,100,2216,108,0.010724233900509361,0.17571504615177358,0.08139693018970406
ridge,swc_only_activity,200,2216,108,0.1357418131070621,0.19028646302638125,0.20224560038121875
rf,swc_only_activity,200,2216,108,-0.002194348738359997,0.26559078934412367,0.06259477957145376
mlp,swc_only_activity,200,2216,108,0.07645373340107894,0.22737534426594327,0.15299490997632503
ridge,swc_only_activity,300,2216,108,0.1357418131070621,0.19028646302638125,0.20224560038121875
rf,swc_only_activity,300,2216,108,0.0006554059442389404,0.2532563157831336,0.06088389596007637
mlp,swc_only_activity,300,2216,108,0.05219376625637777,0.12320415115311116,0.10459871293889611
ridge,swc_only_activity,400,2216,108,0.1357418131070621,0.19028646302638125,0.20224560038121875
rf,swc_only_activity,400,2216,108,0.0009600920963660498,0.2547878609082316,0.0664860626852154
mlp,swc_only_activity,400,2216,108,0.052145234861133385,0.21834429277643677,0.11853441820274901
ridge,swc_only_activity,500,2216,108,0.1357418131070621,0.19028646302638125,0.20224560038121875
rf,swc_only_activity,500,2216,108,0.0029883446845470284,0.2588576738062185,0.06739378635099291
mlp,swc_only_activity,500,2216,108,0.045788068653856005,0.18781474918356356,0.10830211912631693
ridge,swc_only_activity,1234,2216,108,0.1357418131070621,0.19028646302638125,0.20224560038121875
rf,swc_only_activity,1234,2216,108,0.01161027570646902,0.25061436260401476,0.07386143788193611
mlp,swc_only_activity,1234,2216,108,-0.01661537609503381,0.21585954266657637,0.06411705261996381
ridge,swc_only_activity,5678,2216,108,0.1357418131070621,0.19028646302638125,0.20224560038121875
rf,swc_only_activity,5678,2216,108,-0.004533188895286066,0.25743032793327436,0.0628010468495005
mlp,swc_only_activity,5678,2216,108,0.02344430863500526,0.13764942470350736,0.0821130182474713
ridge,swc_only_activity,8888,2216,108,0.1357418131070621,0.19028646302638125,0.20224560038121875
